"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037621400,"Los Angeles",6037,NA,NA,236.9305768,NA,NA,76.59437957,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650001,"Los Angeles",6037,NA,NA,288.2670524,NA,NA,69.53676376,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650003,"Los Angeles",6037,NA,NA,219.8733556,NA,NA,82.54844091,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650004,"Los Angeles",6037,NA,NA,188.1422964,NA,NA,85.69228795,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650101,"Los Angeles",6037,NA,NA,421.0494855,NA,NA,56.21711793,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650102,"Los Angeles",6037,NA,NA,188.1422964,NA,NA,85.69228795,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650200,"Los Angeles",6037,NA,NA,188.1422964,NA,NA,85.69228795,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650300,"Los Angeles",6037,NA,NA,217.4866938,NA,NA,82.81791351,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650401,"Los Angeles",6037,NA,NA,221.814089,NA,NA,81.57320672,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650501,"Los Angeles",6037,NA,NA,237.2207218,NA,NA,76.46605928,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650502,"Los Angeles",6037,NA,NA,237.2207218,NA,NA,76.46605928,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650602,"Los Angeles",6037,NA,NA,237.2207218,NA,NA,76.46605928,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650603,"Los Angeles",6037,NA,NA,237.2207218,NA,NA,76.46605928,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650604,"Los Angeles",6037,NA,NA,218.8460959,NA,NA,82.63826511,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037650605,"Los Angeles",6037,NA,NA,192.099439,NA,NA,85.47414346,"CES_3.0_2017","Wed13Dec17",""
